Text,label
"Few weeks back I was dancing, this cutie came to me wathi “sisi yeka lento oyenzayo” and proceeded to ask for my number. He didn’t get them and I continued dancing coz in my head I was killing it. 🙂 https://t.co/CwrrIX5peJ",killing
At this point if i see one more pic of paris i m killing myself https://t.co/QMII8v9pQH,killing
My teeth killing me &amp; this cold outside making it no better smoking even hurt 😞,killing
@SwagdadLevi then what is this??? https://t.co/4h0in9zILL,killing
@EuroLeague @RMBaloncesto @FBBasketbol #Euroleaguemafia shame on You !! You are not seslini with sports but politics.. you are killing the basketball and very soon you will have nothing in hand! Shame on you !!!,killing
killing myself would just be another inconvenience,killing
"Ok Republicans are calling for Biden to be held accountable for mishandling of covid..
Trump flat out lied about it..thought it was killing democrats so he wanted to let it go and they don't say a word..
I wish democrats would learn to fight",killing
@softlittlecow fucking killing me,killing
"Listen idc if it's a literal killing machine,, I wanna be friends with the doll thing",killing
"いいねKCONの再生回数INI無双してるじゃん♡

#INI @official__INI 
A | Rocketeer | Brighter | Cardio | KILLING PART | ONE(INI Ver.) | RUNWAY(INI Ver.)",killing
"@GOPLeader Every single LAW ABIDING AMERICAN should be OUTRAGED by this:        @GOP   REPS    MATT GAETZ,    RONNY    JACKSON   &amp;   MADISON   CAWTHORN     ARE SEXUAL PREDATORS.   #GOP_PEDO_RING   COP KILLING   #SEDITIOUS_CULT   🇷🇺#DomesticTerroristGQP",killing
miss peacock killing Dr black with the revolver in the billiard room https://t.co/AQYdSoswWm,killing
love killing gil cause he and his family were anti vaxx is the best piece of tv this year,killing
"@QuodNostra You people obsess over Muslims so much that you may as well convert. Seem to consider Islam this invincible force that we need the Pope to contain.

But to answer that, fighting and killing them was what removed the Muslims.",killing
"Hero #NCB  Killing the DRUGTERRIOST 
Rt if u agree ...
We need hero like him ..........
not Bollywood ZERO .... https://t.co/Gyz0BJGFKh",killing
@PrettyboyCvstro Facts just holding their partner back from being great. Ghost was too nice for not killing her too 🥴😂,killing
"ALARM! ALARM! THE JOKES ARE TAKING LIVES, PEOPLE! THE JOKES ARE KILLING PEOPLE! https://t.co/Kj1S0gQpJy",killing
@hrts4quackity AWWH ANYWAY HAVE FUN!,killing
"I don't know their stance on such things, so I'd best not spill anything... https://t.co/zELGzqNbiO",killing
"今日はイニステだ！毎日供給の嵐で1週間あっという間すぎた😂
INIちゃんMINIちゃん1日頑張ろう〜！

#INI @official__INI Rocketeer / Brighter / Cardio / KILLING PART / RUNWAY(INI Ver.) | ONE(INI Ver.)",killing
"Modyy△Killing things shouldn't make you happy,

△كٍوْدً خْصَمً فوغا كلوسيت IEP

△كٍوْدً خْصَمً ستايلي GT15

Hear others, and you will be heard.Understand",killing
"@Wass2020 @PhantomPower14 You're right, the mines did kill people. The UK government's of the 70's and 80's knew the mines were killing people, but yet no alternative was put in place. Why? If you're choice was between risking your long term health, or your family going without, what would you choose?",killing
"毎日忙しいのにメールをくれるINIの皆、本当にありがとう💐

#INI @official__INI  Rocketeer / Brighter / Cardio / KILLING PART / RUNWAY(INI Ver.) /ONE(INI Ver.)",killing
@_blissfulberry_ Im making out with garlic bread right now what do you mean,killing
ik y’all remember when people was killing themselves over flappy bird😭 https://t.co/xB9MkWBgSq,killing
tfw no eco-Armenian bf with cis-neo-Korean-killing neo-Eastern nationalist characteristics,killing
"""#JaneCasey’s ‘Killing Kind’ Set For #TV #Adaptation By Sony’s Eleventh Hour Films"" https://t.co/hWIoOZVBQR #thriller #crime #books #novels #writers #authors #novelists",killing
@SMMSimen @AnbilM2 @Maroof_64 @DKuzunoha @Tredq @Kire42_EU @SashaStarshine So many been killing it recently! Hoping we’ll start doing well internationally aswell!,killing
@ReillyFace I'm fine with us killing the folks who peddle fentanyl via any port as well. I am fine with pharmacists issuing prescriptions for cocaine. But I want unlicensed dealers to face severe penalties,killing
😭the music is killing me https://t.co/iwqYIYkYIb,killing
"@HayleyMasonTV Africa got her problem , US is and will always be White keeps killing the Blacks 💯",killing
@RandolSjpd Enough is enough you’re supposed to protect and serve not to abuse and hurt. Stop this low life torturing me he’s done it all short of killing me or locking me up which he’s threatened repeatedly sending cops to my door including valley med mental place people to scare me,killing
"@scarponedraws Never played but I've seen interesting play come from conflict between tieflings/ paladins, elves/ half elves, tail(ed)/less dragonborns etc. Often the resolution is killing/ converting the ignorant party. They might be trying to be woke but not understanding what they're saying?",killing
"@HoppySaul @Sibleyback And the Tory front benches still parade their disdain for public health in full view the nation , this is not a Government it’s a killing machine",killing
"@SwagdadLevi It's okay Levi, i still like you. and besides, Erwin is older than you JAJSWHHSIS old couple. old daddies 😻",killing
this at work just said she doesn’t eat chickens cuz she feels bad for killing them 🙄 girl off with their heads!,killing
Only SICK son of a bitches make jokes about a pandemic thats killing hundreds of thousands of people in our country alone...but here we are. https://t.co/TPzesz9d4m,killing
"The longer the @SECGov allows Ken and the boys to not close their short positions, the closer #apes are to being relieved of short term capital gains tax, killing any chance of economic recovery the FED @federalreserve is currently digging us into. #Citadel_is_not_for_Retail",killing
@petrichorjune @_blissfulberry_ your mom asked for my phone nr,killing
"@JWilsonTCSC @KatieDaviscourt While *also* actively putting the same people they've *been* brutalizing at risk.

This is like praising former US soldiers discharged for brutally killing Native Americans for handing out Small Pox blankets.",killing
@kawo_lu gojo's head just sitting there is killing me,killing
"How Worsening Heat, Fires And Droughts Are Killing Us: Report
Climate change is “first and foremost a health crisis,” the medical journal The Lancet warned.

October 22, 2021 at 01:36AM
October 22, 2021 at 03:06AM
https://t.co/OFPOi2JwBs",killing
"通勤時間はスミンしながらTwitter張りついてる

#INI @official__INI A | Rocketeer | Brighter | Cardio | KILLING PART | RUNWAY(INI Ver.) | ONE(INI Ver.)",killing
"Former Minneapolis Cop Gets New, Shorter Sentence in Killing of 911 Caller  https://t.co/WPXQsKyoI8",killing
Subspace su-57 Squadrons uploading. Thank you @SenatorMenendez for killing Nato and doing a solid for #Turkey. (@SenatorMenendez will be the scapegoat). https://t.co/qXT1nQXDmY,killing
Ahmaud Arbery’s Father Speaks Out About Watching Video Of His Son’s Killing https://t.co/No4lFgDIyr #SmartNews,killing
You really crazy af. Crazy mfs killing people for no reason.,killing
"After Monday’s bombing of Mekelle, the Ethiopian gov. continued its airstrikes on civilians today, killing innocent people. This last resort measure must be stopped. #NoFlyZoneinTigray #TigrayGenocide @SecBlinken @USAmbUN @LindaT_G @POTUS @VP https://t.co/QZl7n4nvae",killing
@hrts4quackity WAIT ARE YOU IN PURE VANILLA?,killing
"@WeWatchedAMovie The scene where Michael keeps stabbing his back, when I saw it I thought of maybe he's trying to get use to using his right hand so he's ready for stabbing people as we always see him killing with his left hand and now that his fingers were shot off he couldn't be as good with it",killing
@JobobTaeleifi They will do what they have been doing for decades possibly centuries and that's continue killing us,killing
"@cmsholdings Don't sit at your desk all day, you're killing your body. Whats the point of wealth if you cant do it while healthy",killing
Hdhdhdhdhdjd the fact that I know a guy like this at work is killing me https://t.co/CsgGf4WLGN,killing
Kingdom.. wow...the kings are killing it this cb https://t.co/sA3By3nlSr,killing
"@conor64 OK, but there has been a lot of breathless reporting over the years about how various drugs turn you into an unstoppable killing machine (PCP, crack, ""bath salts"") and it basically all turned out to be hyperbole or at least exaggeration.",killing
"やっと金曜日だぁ！！
今日1日学校頑張ったら、放課後はViVi取りに行って、夜はINISTATIONだ♡
幸せすぎる~🕊𓈒𓏸𓐍

#INI @official__INI 
A | Rocketeer | Brighter | Cardio | KILLING PART | ONE(INI Ver.) | RUNWAY(INI Ver.)",killing
"Gotta say, I like this...slightly better statement than Kyrie, whatever his statement is...

Celtics off Chinese media after Kanter statements https://t.co/A8UPxJ04sx",killing
